sensor_id,MAE,RMSE,R2
0,0.0864,0.1688,0.9997
1,0.0872,0.1692,0.9997
2,0.0872,0.1703,0.9997
3,0.0885,0.1716,0.9997
4,0.0885,0.1713,0.9997
5,0.0875,0.1695,0.9997
6,0.0869,0.1688,0.9997
7,0.087,0.1696,0.9997
8,0.087,0.1688,0.9997
9,0.0882,0.1711,0.9997
10,0.0861,0.1687,0.9997
11,0.0876,0.1698,0.9997
12,0.0866,0.169,0.9997
13,0.0886,0.1719,0.9997
14,0.0848,0.1677,0.9997
15,0.0867,0.1689,0.9997
16,0.0896,0.1721,0.9997
17,0.0858,0.1668,0.9997
18,0.0879,0.1692,0.9997
19,0.0885,0.1711,0.9997
20,0.088,0.1703,0.9997
21,0.085,0.1667,0.9997
22,0.0854,0.1667,0.9997
23,0.0852,0.1686,0.9997
24,0.0881,0.1708,0.9997
25,0.0863,0.1679,0.9997
26,0.0886,0.1717,0.9997
27,0.0875,0.17,0.9997
28,0.0861,0.1676,0.9997
29,0.0855,0.1673,0.9997
30,0.0884,0.1712,0.9997
31,0.0841,0.165,0.9997
32,0.0861,0.1672,0.9997
33,0.088,0.17,0.9997
34,0.0847,0.1672,0.9997
35,0.0871,0.1691,0.9997
36,0.0856,0.1672,0.9997
37,0.0883,0.1704,0.9997
38,0.0874,0.1692,0.9997
39,0.0864,0.1685,0.9997
40,0.0891,0.1722,0.9997
41,0.0851,0.167,0.9997
42,0.0868,0.1687,0.9997
43,0.0851,0.1677,0.9997
44,0.0849,0.1675,0.9997
45,0.0847,0.167,0.9997
46,0.0867,0.1691,0.9997
47,0.0894,0.1728,0.9997
48,0.0867,0.1684,0.9997
49,0.0868,0.169,0.9997
50,0.0888,0.1714,0.9997
51,0.0871,0.1698,0.9997
52,0.0871,0.1694,0.9997
53,0.0888,0.1717,0.9997
54,0.0863,0.1674,0.9997
55,0.0879,0.1708,0.9997
56,0.0869,0.1688,0.9997
57,0.0884,0.172,0.9997
58,0.0885,0.1708,0.9997
59,0.0867,0.1696,0.9997
60,0.0881,0.1705,0.9997
61,0.0863,0.168,0.9997
62,0.0874,0.1693,0.9997
63,0.0879,0.1705,0.9997
64,0.0891,0.1716,0.9997
65,0.0864,0.1685,0.9997
66,0.0857,0.1672,0.9997
67,0.0876,0.17,0.9997
68,0.0879,0.1695,0.9997
69,0.0864,0.169,0.9997
70,0.0877,0.1697,0.9997
71,0.0867,0.1687,0.9997
72,0.0871,0.1683,0.9997
73,0.0866,0.169,0.9997
74,0.086,0.1685,0.9997
75,0.0879,0.1708,0.9997
76,0.0894,0.1723,0.9997
77,0.0899,0.1717,0.9997
78,0.0878,0.1696,0.9997
79,0.0878,0.17,0.9997
80,0.0908,0.1738,0.9997
81,0.085,0.1668,0.9997
82,0.088,0.1712,0.9997
83,0.086,0.1687,0.9997
84,0.0873,0.1694,0.9997
85,0.0853,0.1676,0.9997
86,0.0867,0.1696,0.9997
87,0.0884,0.1708,0.9997
88,0.084,0.1661,0.9997
89,0.0882,0.1707,0.9997
90,0.0844,0.166,0.9997
91,0.0845,0.1664,0.9997
92,0.0856,0.1692,0.9997
93,0.089,0.1715,0.9997
94,0.0898,0.1731,0.9997
95,0.0885,0.1711,0.9997
96,0.0894,0.1716,0.9997
97,0.0884,0.1716,0.9997
98,0.087,0.1689,0.9997
99,0.0834,0.164,0.9997
