LOOKBACK,HYST_DELTA,MAE,Reduction,Missed_Critical,Total_Critical,Score
5,0.02,0.233342,66.141079,0,1409,0.571932
5,0.05,0.24251,66.908714,0,1409,0.573423
5,0.07,0.241812,66.742739,0,1409,0.574384
5,0.1,0.252185,67.707469,0,1409,0.57511
5,0.15,0.254542,67.147303,0,1409,0.583069
10,0.02,0.188631,61.908714,0,1409,0.569544
10,0.05,0.189409,62.365145,0,1409,0.565757
10,0.07,0.193559,62.23029,0,1409,0.571256
10,0.1,0.198749,62.634855,0,1409,0.5724
10,0.15,0.205124,61.56639,0,1409,0.58946
12,0.02,0.173586,60.072614,0,1409,0.572859
12,0.05,0.177755,60.165975,0,1409,0.576095
12,0.07,0.177328,59.751037,0,1409,0.579817
12,0.1,0.182712,60.363071,0,1409,0.579081
12,0.15,0.188731,59.906639,0,1409,0.589665
15,0.02,0.159601,58.008299,0,1409,0.579518
15,0.05,0.159047,57.80083,0,1409,0.581038
15,0.07,0.162735,57.717842,0,1409,0.585556
15,0.1,0.165874,58.205394,0,1409,0.58382
15,0.15,0.170137,57.562241,0,1409,0.594515
20,0.02,0.14726,56.53527,0,1409,0.581907
20,0.05,0.152153,56.670124,0,1409,0.585452
20,0.07,0.15379,56.742739,0,1409,0.586362
20,0.1,0.155857,56.400415,0,1409,0.591852
20,0.15,0.161515,56.628631,0,1409,0.595229
