scenario,epsilon,transmitted,reduction_percentage,global_MAE,global_RMSE,global_R2,max_MAE,std_MAE,max_RMSE,std_RMSE,execution_time_s
epsilon_0_5,0.5,20332,53.71,0.1259,0.2007,0.9995,0.1277,0.0013,0.2021,0.001,66.9
epsilon_1_0,1.0,12126,72.39,0.3208,0.4458,0.9977,0.3231,0.0018,0.449,0.0017,69.98
dynamic_threshold,dynamic,17734,59.62,0.1702,0.2616,0.9992,0.1716,0.0015,0.265,0.0024,71.97
dynamic_threshold,dynamic,17745,59.6,0.1702,0.2601,0.9992,0.172,0.0015,0.263,0.0019,74.77
dynamic_threshold,dynamic,17127,61.0,0.1877,0.2878,0.9991,0.1943,0.0037,0.2971,0.0051,80.22
dynamic_threshold,dynamic,17582,59.97,0.1746,0.268,0.9992,0.178,0.0026,0.2727,0.003,76.75
dynamic_threshold,dynamic,17443,60.28,0.1775,0.2718,0.9992,0.1815,0.0025,0.2777,0.0031,77.97
dynamic_threshold,dynamic,21929,50.07,0.1738,0.2953,0.999,0.1823,0.0058,0.3007,0.0037,79.04
epsilon_0_5,0.5,25686,41.52,0.1007,0.1815,0.9996,0.1088,0.0053,0.1884,0.0046,134.6
epsilon_1_0,1.0,16616,62.17,0.2922,0.4332,0.9979,0.3017,0.0072,0.4388,0.0042,156.69
epsilon_0_5,0.5,20332,53.71,0.1259,0.2007,0.9995,0.1277,0.0013,0.2021,0.001,153.57
epsilon_1_0,1.0,12126,72.39,0.3208,0.4458,0.9977,0.3231,0.0018,0.449,0.0017,145.08
dynamic_threshold,dynamic,17654,59.8,0.1728,0.2643,0.9992,0.1739,0.0009,0.2667,0.0013,155.29
dynamic_threshold,dynamic,17377,60.43,0.1836,0.2826,0.9991,0.188,0.0023,0.2894,0.0036,163.12
